COMMENTS;SHELF;PN;DESC;QTY;;COND;SN;TAG INFO;TAG INFO;TAG DATE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3008146;TUBE-TRANSFER;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3011684;LEVER FOLLOWER PROP REV CONTROL;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3026654;STRAINER SLEEVE-SCAVENGE OIL;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3013294;PLUG;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3011426;NOZZLE-OIL;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3012896;BRACKET;6;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;16/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3011370;PLATE;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3010454;LEVER FUEL CONTROL ACTUATING;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3007105;TUBE TRANSFER;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3026758;STRAINER SLV IC CHIP DET;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3011158;FUEL MANIFOLD LOCK PLATE;14;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3013146;ADAPTER-PROP SHAFT OIL TRANS TUBE;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3005664;SHAFTGEAR-BEVEL GOVERNOR DRIVE;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;01/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3004220;PLATE;3;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
