Part Number,,Cond,Qty In Stock,UM,Description,,W/H,Serial No.,,Reserved Qty,,,
104005-1,,OH,1,EA,"EMERGENCY EVACUATION SLIDE ASSY, AF",,Embraer,EE0694,,0,,,
35-0E5-1513,,AR,1,EA,S.D.A.C.,,Airbus,0E5002119,,0,,,
3510-0056-03,,AR,1,EA,EXPRESS COFFEE MAKER,,Airbus,01K8151290001,,0,,,
3552BAADAACXCD,,AR,1,EA,O2 BOTTLE,,Airbus,P11021174,,0,,,
3552BAADAACXCD,,AR,1,EA,O2 BOTTLE,,Airbus,P09120189,,0,,,
3552CAADAACXCD,,AR,1,EA,O2 BOTTLE,,Airbus,P12091498,,0,,,
3720-00-00,,AR,1,EA,FIRE DETECTION UNIT,,Airbus,ME1890,,0,,,
3800278-4,,AR,1,EA,APU,,Airbus,R888,,0,,,
3945123506,,AR,1,EA,ELEVATOR AILERON COMPUTER,,Airbus,5981,,0,,,
3957985205,,AR,1,EA,ENGINE INTERFACE UNIT,,Airbus,Q05720007750,,0,,,
41-2-1100-02,,AR,1,EA,R/AIR EMERG ACTUATOR,,Airbus,2167,,0,,,
4188-00,,AR,1,EA,STATIC INVERETER,,Airbus,1858,,0,,,
4233257,,AR,1,EA,BLOCK-BEARING,,Airbus,N/A,,0,,,
4236534,,AR,1,EA,LIGHT-RUNWAY TURNOFF,,Airbus,75849,,0,,,
4279198,,AR,1,EA,WIPER MOTOR,,Airbus,26445,,0,,,
4357626,,AR,1,EA,WIPER ARM L.H.,,Airbus,N/A,,0,,,
442920-1,,AR,1,EA,MANIFOLD DISTRIBUTION,,Airbus,3305,,0,,,
4550-01-482,,AR,1,EA,FIRE/OVERHEAT DETECTOR,,Airbus,11428,,0,,,
4611025900,,AR,1,EA,BRAKE FAN,,Airbus,49,,0,,,
110A0113-56,,SV,1,EA,FUEL DOOR ASSY RH,,Boeing,340705,,0,,,
4611025900,,AR,1,EA,BRAKE FAN,,Airbus,110,,0,,,
4611025900,,AR,1,EA,BRAKE FAN,,Airbus,N/A,,0,,,
4611025900,,AR,1,EA,BRAKE FAN,,Airbus,45,,0,,,
465010-0300-0300,,AR,1,EA,CONTRL DISPLY UNIT,,Airbus,317,,0,,,
520913,,AR,1,EA,CSMG-CONST GENERATOR,,Airbus,G0310330,,0,,,
520913,,AR,1,EA,CSMG-CONST GENERATOR,,Airbus,F9443390,,0,,,
