AC_Type,MPN,DESIGNATION,ATA,CAPABILITY,PMA,DOA,DER,Code_OEM,Design_OEM
A330,735-632-6,HSMU,29,"EASA, FAA, CAAC",,,,F0553,INTERTECH
A330,750A0000-02,TRIM AIR VALVE,21,"EASA, FAA, CAAC",,,,F1958,LIEBHERR
A330,750B0000-01,TRIM AIR VALVE,21,"EASA, FAA, CAAC",,,,,
A330,7516100-20050,SATELLITE DATA UNIT,23,"EASA, FAA, CAAC",,,,55939,HONEYWELL
A330,7516100-20060,SATELLITE DATA UNIT,23,"EASA, FAA, CAAC",,,,55939,HONEYWELL
A330,7516118-27020,SATELLITE DATA UNIT,23,"EASA, FAA, CAAC",,,,55939,HONEYWELL
A330,7516118-27140,"SATELLITE DATA UNIT,SATC.",23,"EASA, FAA",,,,55939,HONEYWELL
A330,7516118-27150,"SATELLITE DATA UNIT,SATC",23,"EASA, FAA",,,,55939,HONEYWELL
A330,7516118-27151,SATELLITE DATA UNIT,23,"EASA, FAA",,,,55939,HONEYWELL
A330,7516118-47145,SATELLITE DATA UNIT,23,"EASA, FAA",,,,55939,HONEYWELL
A330,7516118-47151,SATELLITE DATA UNIT,23,"EASA, FAA",,,,55939,HONEYWELL
A330,7516240-20050,RADIO FREQUENCY UNIT,23,"EASA, FAA, CAAC",,,,58960,HONEYWELL
A330,7516240-20060,RADIO FREQUENCY UNIT,23,"EASA, FAA, CAAC",,,,58960,HONEYWELL
A330,7516250-20050,HIGH PWR AMPLIFIER,23,"EASA, FAA, CAAC",,,,58960,HONEYWELL
A330,7520000-20140,HIGH POWER AMPL SATCOM,23,"EASA, FAA",,,,55939,HONEYWELL
A330,7520061-34010,HS DATA UNIT SATCOM,23,"EASA, FAA",,,,55939,HONEYWELL
A330,7520061-34015,"HIGH SPEED DATA UNIT,SATC",23,"EASA, FAA",,,,55939,HONEYWELL
A330,7520061-34016,HIGH SPEED DATA UNIT SATC,23,"EASA, FAA",,,,55939,HONEYWELL
A330,764A0000-03,SENSOR-TEMPERATURE,21,"EASA, FAA, CAAC",,,,F1958,LIEBHERR
A330,764B0000-01,SENSOR,21,"EASA, FAA, CAAC",,,,F1958,LIEBHERR
A330,767584H,GENERATOR CONTROL UNIT,24,"EASA, FAA, CAAC",,,,99167,HAMILTON
A330,767584J,GENERATOR CONTROL UNIT,24,"EASA, FAA, CAAC",,,,99167,HAMILTON
A330,767584K,GENERATOR CONTROL UNIT,24,"EASA, FAA, CAAC",,,,99167,HAMILTON
A330,767584L,GENERATOR CONTROL UNIT,24,"EASA, FAA",,,,99167,HAMILTON
A330,773A0000-01,SENSOR,21,"EASA, FAA, CAAC",,,,F1958,LIEBHERR
A330,7825E,DENSITOMETER,28,"EASA, FAA, CAAC",,,,89305,GOODRICH
A330,785-611-2,CONTROLLER VENT CPTR,21,"EASA, FAA, CAAC",,,,F0553,INTERTECH
A330,785-611-3,CONTROLLER VENT CPTR,21,"EASA, FAA, CAAC",,,,F0553,INTERTECH
A330,785611-4,CONTROLLER VENT CPTR,21,"EASA, FAA, CAAC",,,,F0553,INTERTECH
A330,785-619-2,WINDOW HEAT COMPUTER,30,"EASA, FAA",,,,F0553,INTERTECH
A330,785-620-2,PROBE HEAT COMPUTER,30,"EASA, FAA, CAAC",,,,F0553,INTERTECH
A330,785620-3,PROBE HEAT COMPUTER,30,"EASA, FAA, CAAC",,,,F0553,INTERTECH
A330,785-840-3,BMC,36,"EASA, FAA, CAAC",,,,F0553,INTERTECH
A330,785840-4,BMC,36,"EASA, FAA, CAAC",,,,F0553,INTERTECH
A330,792-6140-001,HF ANTENNA COUPLER,23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,7A1508-053,RAFT-SLIDE DOOR 1&4 LH&RH,25,"EASA, FAA, CAAC",,,,,
A330,7A1508-055,RAFT-SLIDE DOOR 1&4 LH&RH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,7A1508-125,RAFT-SLIDE DOOR 1&4 LH&RH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,7A1510-053,RAFT-SLIDE DOOR 3 LH,25,"EASA, FAA, CAAC",,,,,
A330,7A1510-054,RAFT-SLIDE DOOR 3 RH,25,"EASA, FAA, CAAC",,,,,
A330,7A1510-055,RAFT-SLIDE DOOR 3 LH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,7A1510-056,RAFT-SLIDE DOOR 3 RH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,7A1510-125,RAFT-SLIDE DOOR 3 LH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,7A1510-126,RAFT-SLIDE DOOR 3 RH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,7A1539-053,RAFT-SLIDE DOOR 2 LH,25,"EASA, FAA, CAAC",,,,,
A330,7A1539-054,RAFT-SLIDE DOOR 2 RH,25,"EASA, FAA, CAAC",,,,,
A330,7A1539-055,RAFT-SLIDE DOOR 2 LH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,7A1539-056,RAFT-SLIDE DOOR 2 RH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,7A1539-125,RAFT-SLIDE DOOR 2 LH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,7A1539-126,RAFT-SLIDE DOOR 2 RH,25,"EASA, FAA, CAAC",,,,0ACH4,GOODRICH
A330,822-0297-020,"VOR/MARKER RECEIVER,900",34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-0299-020,"ADF RECEIVER,900",34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-0329-020,"TRANSCEIVER-DME,900",34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-0330-020,"TRANSCEIVER-HF E/R,HFS900",23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-0334-020,TRANSCEIVER-RADIO ALTI.,34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-0987-002,HF ANTENNA COUPLER,23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-0987-003,HF ANTENNA COUPLER,23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-0990-001,TRANSCEIVER HF,23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-0990-003,HF TRANSCEIVER / HFS 900D,23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1047-020,"VHF COM TRANSCEIVER,900B",23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1047-030,"VHF COM TRANSCEIVER,900B",23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1152-121,"RECEIVER-MULTIMODE,GLU920",34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1152-130,RECEIVER-MMR,34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1152-131,RECEIVER-MULTIMODE GLU920,34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1250-020,TRANSCEIVER VHF,23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1287-120,TRANSCEIVER-VHF,23,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1287-121,TRANSCEIVER-VHF,23,"EASA, FAA",,,,4V792,ROCKWELL
A330,822-1293-321,COMPUTER TCAS,34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1293-322,COMPUTER TCAS,34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1293-332,COMPUTER TCAS,34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1338-020,TRANSPONDER ATC,34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1338-021,ATC TRANSPONDER,34,"EASA, FAA",,,,4V792,ROCKWELL
A330,822-1338-225,ATC TRANSPONDER,34,"EASA, FAA",,,,4V792,ROCKWELL
A330,822-1710-201,WEATHER RADAR TRANSCEIVER,34,"EASA, FAA, CAAC",,,,4V792,ROCKWELL
A330,822-1710-202,WEATHER RADAR TRANSCEIVER,34,"EASA, FAA",,,,4V792,ROCKWELL
A330,822-1710-203,TRANSCEIVER WEATHER RADAR,34,"EASA, FAA",,,,4V792,ROCKWELL
A330,822-1710-204,TRANSCEIVER WEATHER RADAR,34,"EASA, FAA",,,,4V792,ROCKWELL
