Fld_Company_ID;Company_Old_Id;Fld_Company_Name;Fld_Company_Rating_ID;delete
3657;2136405399;Aerospace Dynamics, Inc;;FAUX
988;1157887342;Aerospace Engineering Group (AEG);;FAUX
1841;1648784381;Aerospace Ind Auxiliary power;;FAUX
3284;;Aerospace Industry Resources;;FAUX
4043;;Aerospace Innovations Group;;FAUX
636;19831667;Aerospace Intl Reps;;FAUX
4757;;Aerospace Material Sales, S.L.;;FAUX
5020;;Aerospace Optics;;FAUX
5016;;aerospace overhaul;;FAUX
4093;;AEROSPACE OVERHAUL, LLC;;FAUX
3142;;AEROSPACE PRECISION;;FAUX
3550;;Aerospace Products Co.;;FAUX
1887;1554;Aerospace Products Int'l;;FAUX
2118;;Aerospace Rotables;;FAUX
5155;;Aerospace Service, Inc;;FAUX
1327;414747552;Aerospace Solutions of south Florida;;FAUX
1636;1604;AEROSPACE SUPPORT Associates ltd;;FAUX
1559;731365341;Aerospace Support INTL;;FAUX
1262;991041922;Aerospace Support of Texas;;FAUX
599;-1917793758;Aerospace Systems & Components;;FAUX
1410;1508;Aerospace Technologies intl;;FAUX
4309;;Aerospace Welding;;FAUX
2948;;AEROSPARES;;FAUX
3011;;Aerospares 2000 Ltd;;FAUX
4514;;Aerospares Consulting Limited;;FAUX
306;2136404921;AEROSPHERE AVIATION SERVICES;;FAUX
1933;516613890;Aerospheres (UK) Ltd;;FAUX
4805;;AEROSS Components & Maintenance;;FAUX
4549;;AEROSTAR Airlines;;FAUX
5176;;Aerostar Asset Management FZC;;FAUX
3981;;Aerostar Industry Co, Inc;;FAUX
4893;;Aerostar SA;;FAUX
714;1060;AEROSTOCK;;FAUX
1680;1474;Aerostocks Ltd;;FAUX
2773;;Aerosup Inc.;;FAUX
4983;;AEROSUPPLIER;;FAUX
3277;;Aerosupplies Partner SDN;;FAUX
3347;;Aerosvit Ukrainian Airlines;;FAUX
1516;320;AEROTACA;;FAUX
1090;-766443835;AEROTEAM Inc;;FAUX
2231;;AEROTEC INTERNATIONAL;;FAUX
4937;;Aerotec Services;;FAUX
70;2136405135;Aerotechnic Asia PTE Ltd.;;FAUX
514;1413;Aerotechnic France;;FAUX
237;74415561;Aerotechnic Hambourg;;FAUX
5128;;Aerotechnic Indochina Pte Ltd;;FAUX
3576;;AEROTECHNIC INDUSTRIES;;FAUX
1910;1616;AEROTECHNIC SOUTH AFRICA;;FAUX
4821;;AEROTECHNICA S.A.;;FAUX
1710;1035449616;AEROTEK;;FAUX
3194;;AEROTEK 2000 INC;;FAUX
941;-983187385;Aerotex International;;FAUX
3599;;AEROTHRUST;;FAUX
1528;917741323;AEROTRADING  Inc;;FAUX
89;2136405154;Aerotrends Aviation(M)Sdn Bhd;;FAUX
1131;-382096482;Aerotron - FOKKER Services GA;;FAUX
1858;1159;AEROTRON UK;;FAUX
59;2136405124;AeroTurbine Inc.;;FAUX
4857;;AeroUnion;;FAUX
2684;;AEROVAL, Inc (MF);;FAUX
4429;;Aerovibes Pte Ltd;;FAUX
3526;;AEROVISTA;;FAUX
4129;;AeroXS Inc;;FAUX
1548;602336642;Aero-Zone;;FAUX
5027;;Aersale;;FAUX
4430;;Aertrade;;FAUX
3671;;AERVENTURE;;FAUX
470;2136405002;AES Aerospace Gmbh;;FAUX
999;1298449723;AES AEROSPACE LTD;;FAUX
868;-1855818218;AES Airplane-Equipment & Services;;FAUX
816;1025247975;African Aviation Technology;;FAUX
2607;;AFRICAN STAR AIRWAYS;;FAUX
4786;;AFRIJET Airlines;;FAUX
3734;;AFRIQIYAH Airways;;FAUX
3855;;Afrus UK;;FAUX
1637;1605;AG&G ROTRON;;FAUX
1959;2088983131;Agni Air;;FAUX
938;-1014599358;AGS International;;FAUX
4808;;AgustaWestland Inc;;FAUX
4698;;AGX Wheels & Brakes Corp;;FAUX
3218;;AI Systems Intl.;;FAUX
1068;246;AIGLE AZUR;;FAUX
4813;;AIM AVIATION;;FAUX
4771;;AIM Aviation Atlanta;;FAUX
2947;;aim composites;;FAUX
2939;;Air & Sea Belgium;;FAUX
3349;;Air Adriatic;;FAUX
4737;;Air Aland Ab;;FAUX
2035;2136405065;Air Algerie;;FAUX
1049;165;AIR ALLIANCE Inc;;FAUX
1050;166;AIR ALMA ,lnc;;FAUX
3041;;Air Alps;;FAUX
1230;487;AIR ALSIE;;FAUX
680;239424030;Air and Ground Aviation Ltd;;FAUX
1024;658;AIR ANGUILLA, Inc.;;FAUX
1384;1042810849;AIR ANTILLES EXPRESS;;FAUX
32;2136404881;Air Antilles Express *;;FAUX
2476;;AIR ARABIA;;FAUX
4626;;Air Arabia Maroc;;FAUX
149;2136405093;Air Asia - Malaysia;;FAUX
1381;1042047020;AIR ASIA - TAIWAN;;FAUX
3804;;AIR ASTANA AIRLINE;;FAUX
3752;;AIR ATLANTA AERO ENGINEE;;FAUX
790;982;AIR ATLANTA Icelandic;;FAUX
1069;247;AIR ATLANTIQUE;;FAUX
2936;2136405171;Air Atlantique UK (Classic Flight);;FAUX
1297;1465;AIR AUSTRAL;;FAUX
1654;1145;Air Bagan LTD.;;FAUX
1638;1606;Air Baltic Corporation A/S;;FAUX
1261;548;AIR BC;;FAUX
798;990;AIR BELGIUM;;FAUX
2402;;AIR BERLIN;;FAUX
461;2136404902;Air BLUE;;FAUX
1812;775;AIR BORDER PATROL;;FAUX
2046;;AIR BOSNA - Use B&H Airlines;;FAUX
1221;470;AIR BOTNIA;;FAUX
280;16;AIR BOTSWANA;;FAUX
3101;;Air Bourbon;;FAUX
4638;;AIR BRIDGE CARGO;;FAUX
3423;;Air bulgaria;;FAUX
1032;711;AIR BURKINA;;FAUX
850;828;AIR BURUNDI;;FAUX
4667;;Air Busan;;FAUX
3353;;AIR CAIRO;;FAUX
1195;31;Air Caledonie Domestic Airlines;;FAUX
168;1136;AIR CALYPSO;;FAUX
799;991;AIR Canada;;FAUX
1397;2136404894;AIR Canada JAZZ;;FAUX
830;1118;AIR CARAIBES EXPLOITATION;;FAUX
1500;248;AIR CARAIBES Indu.;;FAUX
751;382;AIR CARGO CARRIERS, Inc.;;FAUX
3260;;Air Carrier Accessory Svc. Inc;;FAUX
1598;1314;AIR CARRIER SERVICE;;FAUX
1738;2136405085;AIR CENTRAL;;FAUX
621;1633;AIR CENTURY;;FAUX
4462;;Air Charter Express Ltd;;FAUX
1241;910;AIR CHINA Int'l;;FAUX
3791;;AIR COMET;;FAUX
110;271;AIR COMMUTER;;FAUX
4668;;Air Congo;;FAUX
317;2136404934;Air Contractors;;FAUX
5123;;Air Contractors Engineering LTD;;FAUX
957;-895529932;Air Cost Control;;FAUX
3586;;AIR CREEBEC;;FAUX
39;2136404889;Air Cruisers;;FAUX
3813;;Air Dallas Instrument;;FAUX
2982;;Air Deccan;;FAUX
4323;;Air dimension engine;;FAUX
